Timestamp	What is your attitude towards online learning?	Online learning has proven to be effective towards my academic performance.	"How would you rank online learning, face to face learning or hybrid learning? With 1 being the best and 3 being the worst. [Online learning]"	"How would you rank online learning, face to face learning or hybrid learning? With 1 being the best and 3 being the worst. [Face to Face Learning]"	"How would you rank online learning, face to face learning or hybrid learning? With 1 being the best and 3 being the worst. [Hybrid Learning]"	I have access to stable internet connection while accessing online learning.	I have access to suitable devices to meet the requirements for online learning	I am able to stay focused and concentrated throughout all my online courses.	"I feel supported by my course coordinators, lecturers and tutors through online platforms."	The courses I am undertaking have provided me resources to help me learn online	What is your current level of study at UNSW?	What is your current year at UNSW?	Faculty of your degree:	How long is your commute to UNSW?	What is your current living situation? 	What is your current employment status?
8/5/21 19:49	3	2	3	1	2	4	4	2	2	2	Undergraduate	First Year	Science	Within 2 hours	Living with family and friends	Unemployed
8/5/21 19:50	3	1	3	1	1	5	5	1	4	3	Undergraduate	Fourth Year	Business School	Within 1 hour	Living with family and friends	Casual
8/5/21 19:55	6	4	2	3	1	4	4	4	4	4	Undergraduate	Third Year	Law	Within 2 hours	Living with family and friends	Casual
8/5/21 19:57	3	3	3	1	2	4	4	2	3	3	Undergraduate	Fourth Year	Law	Within 1 hour	Living with family and friends	Part-time
8/5/21 20:12	5	4	3	2	1	4	4	4	4	4	Undergraduate	Second Year	Business School	Within 2 hours	Living with family and friends	Casual
8/5/21 22:06	3	2	1	3	2	3	3	2	1	3	Undergraduate	Second Year	Engineering	Within 2 hours	Living with family and friends	Part-time
8/5/21 22:51	3	1	1	3	2	5	5	3	4	3	Undergraduate	Second Year	Law	Within 2 hours	Living with family and friends	Casual
8/5/21 23:47	6	4	2	2	3	4	5	3	4	4	Postgraduate	Fourth Year	Medicine	Within 30 minutes	Living with family and friends	Casual
8/6/21 0:25	6	4	2	3	1	5	5	4	4	4	Undergraduate	Third Year	Business School	Within 1 hour	Living with family and friends	Part-time
8/6/21 0:47	4	4	2	2	3	4	5	1	3	2	Undergraduate	Third Year	"Arts, Design & Architecture"	Within 1 hour	Living with family and friends	Casual
8/6/21 1:16	5	4	2	1	3	3	3	1	3	4	Undergraduate	Fourth Year	Engineering	Within 2 hours	Living with family and friends	Unemployed
8/6/21 1:18	5	4	1	2	3	4	4	4	4	4	Undergraduate	Fourth Year	Engineering	Within 2 hours	Living with family and friends	Casual
